epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
92,17657,1.02962,0.6148,1.08056,0.74605,0.71514,0.75057,0.48361,1.21203,0.70931,1.20569,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,18758.4,1.03324,0.61494,1.08172,0.74636,0.71558,0.75048,0.48373,1.21175,0.70861,1.20565,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,19860.9,1.03067,0.61503,1.07794,0.74657,0.71596,0.75047,0.48395,1.2118,0.7085,1.2057,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,20964.4,1.03063,0.61091,1.07528,0.74706,0.71653,0.75064,0.48432,1.21153,0.70799,1.20517,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,22071,1.0259,0.61135,1.07461,0.74721,0.71618,0.75098,0.48453,1.21119,0.70726,1.20492,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,23172.2,1.02741,0.61212,1.07859,0.74418,0.71855,0.75056,0.48418,1.21119,0.70671,1.20475,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,24273.1,1.02599,0.60984,1.07552,0.7443,0.71862,0.75041,0.48415,1.21104,0.70618,1.20468,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,25377.1,1.01525,0.60557,1.07091,0.74559,0.719,0.75061,0.48462,1.21079,0.70547,1.20423,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,26486.2,1.02043,0.60985,1.06865,0.74643,0.71799,0.75097,0.48456,1.21057,0.70491,1.20397,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,27589.6,1.01761,0.60687,1.07502,0.74547,0.71936,0.75145,0.48444,1.21065,0.70433,1.20402,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,1064.9,0.98226,0.56037,1.05935,0.7452,0.71952,0.75117,0.48427,1.2105,0.7043,1.20421,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,2134.76,0.99841,0.57742,1.06686,0.74798,0.71923,0.75143,0.48472,1.21047,0.70403,1.20437,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,3210.18,1.00004,0.58261,1.06802,0.74688,0.72146,0.75117,0.48433,1.21051,0.70401,1.20458,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,4281.09,1.00308,0.5846,1.06825,0.74679,0.72121,0.75134,0.48461,1.21054,0.70399,1.20478,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,5353.06,1.00391,0.58355,1.06646,0.74297,0.72326,0.75122,0.48437,1.21061,0.70399,1.20485,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,6424.65,1.00374,0.58903,1.06774,0.74356,0.72343,0.75142,0.48465,1.21047,0.70364,1.20489,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,7501.21,1.00118,0.58652,1.06148,0.74419,0.72218,0.75105,0.48439,1.21051,0.70348,1.20519,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,8576.7,0.99866,0.58179,1.06655,0.74442,0.72273,0.75132,0.48403,1.21062,0.70315,1.20544,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,9647.91,1,0.57994,1.05885,0.74302,0.72345,0.75124,0.48478,1.21083,0.7028,1.20579,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,10718.4,0.99834,0.58074,1.06058,0.74467,0.72287,0.75132,0.48465,1.21072,0.70255,1.2055,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,11792.5,0.99556,0.58202,1.05377,0.74356,0.72325,0.75144,0.48515,1.21091,0.70237,1.20534,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,12865.7,0.99956,0.58377,1.06208,0.74168,0.72536,0.75153,0.48507,1.21081,0.70225,1.20532,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,13937.5,0.99619,0.58044,1.06349,0.74207,0.7261,0.75137,0.48525,1.21067,0.70183,1.205,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,15016,0.99415,0.58028,1.06029,0.74274,0.72611,0.75136,0.4853,1.21054,0.70147,1.20491,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,16089.5,0.99526,0.58242,1.05984,0.72745,0.73708,0.75157,0.48532,1.21027,0.70122,1.20487,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,17165.2,0.99013,0.57901,1.0565,0.72719,0.73957,0.75179,0.48567,1.2102,0.70052,1.20482,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,18244.1,0.99334,0.57898,1.06,0.72481,0.74187,0.75099,0.48555,1.21002,0.6999,1.20493,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,19318.3,0.99054,0.57808,1.05733,0.72716,0.74044,0.751,0.48575,1.21007,0.69948,1.20505,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,20390.3,0.99133,0.576,1.05469,0.7294,0.73862,0.75108,0.48569,1.21001,0.69908,1.20513,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,21467,0.98736,0.5764,1.05139,0.73139,0.73951,0.75145,0.48608,1.20988,0.69853,1.20491,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,22541.9,0.98876,0.57735,1.05987,0.7322,0.73663,0.75132,0.48628,1.20975,0.69801,1.2049,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,23618.7,0.9865,0.57461,1.04833,0.73301,0.73597,0.75162,0.48647,1.20943,0.69759,1.20449,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,24693.2,0.97743,0.57204,1.05477,0.73611,0.73608,0.75159,0.48671,1.20904,0.6968,1.20438,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,25770.1,0.98202,0.57494,1.05084,0.7376,0.73334,0.75164,0.48663,1.20911,0.69659,1.20454,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,26846.2,0.97827,0.57078,1.05416,0.74078,0.72997,0.75154,0.48639,1.20902,0.69628,1.20454,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,27918,0.98386,0.57161,1.05094,0.7398,0.72886,0.75158,0.48637,1.20896,0.69571,1.20479,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,1062.07,0.93179,0.5191,1.02998,0.73909,0.72847,0.75108,0.48627,1.20883,0.69586,1.20459,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,2126.66,0.94717,0.53328,1.03592,0.74313,0.72777,0.7513,0.48619,1.20865,0.69613,1.20462,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,3191.69,0.94886,0.53804,1.03919,0.74748,0.72482,0.75192,0.48613,1.20895,0.69625,1.20509,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
